"","No.","Time","Source","Destination","Protocol","Length","Info","hostname","last_registration_req_at","platform","health","last_config_fetch_at","total_flows","cpu_load","current_sw_version","vrf_id","created_at","enable_pid_lookup"
"11677",13271,266.543868,"65.54.189.173","10.0.2.15","TCP",90,"61863  >  2528 [PSH, ACK] Seq=14748 Ack=4946 Win=8760 Len=36","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11678",13273,266.546185,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [ACK] Seq=14784 Ack=5006 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11679",13274,266.735649,"65.54.189.173","10.0.2.15","TCP",62,"61863  >  2528 [PSH, ACK] Seq=14784 Ack=5006 Win=8760 Len=8","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11680",13727,287.363222,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [ACK] Seq=14792 Ack=5012 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11681",13728,287.53118,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [FIN, ACK] Seq=14792 Ack=5012 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11682",13733,287.874446,"65.54.189.173","10.0.2.15","TCP",60,"61863  >  2528 [ACK] Seq=14793 Ack=5013 Win=8760 Len=0","RCDNPN1509",1479321112,"MSServer2012R2Standard","active",1479748911,15347,50.00866292,"1.103.1.6.win64",1,1479321112,FALSE
"11683",6001,116.952286,"95.160.236.51","172.16.255.1","UDP",61,"32683  >  50983 Len=19","RCDNPN2438",1479321231,"MSServer2008R2Standard","active",1479749159,10682,49.82171653,"1.103.1 .6.win64",1,1479321231,FALSE
"11684",5369,114.985454,"114.46.144.25","172.16.255.1","UDP",60,"29080  >  50983 Len=18","RCDNPN3251",1479321279,"RedHatEnterpriseServer-6 .8","active",1479749000,7924,0.200733093,"1.103.1.6-1",1,1479321279,FALSE
"11685",5401,115.188123,"213.19.120.150","172.16.255.1","UDP",533,"16763  >  50983 Len=491","RCDNPN364",1479321304,"MSServer2012R2Standard","active",1479748739,14953,12.50612169,"1.103.1.6.win64",1,1479321304,FALSE
"11686",6025,117.182306,"118.6.206.252","172.16.255.1","UDP",498,"48570  >  50983 Len=456","RCDNPN2897",1479321319,"RedHatEnterpriseServer-6.7","active",1479748440,7348,0.139076042,"1.103 .1.6-1",1,1479321319,FALSE
